forecast_id,feature_timestamp,forecast_timestamp,horizon_seconds,sensor,model,current_value,predicted_value,change_from_current,status,severity,alert_type,reason,model_reliability,created_at
1627,2026-06-08 00:06:59,2026-06-08 00:07:59,60,vib_z_rms,XGBoost,0.065236,0.0634698867797851,-0.0017661132202148,NORMAL,INFO,NONE,Predicted vibration 0.0635 is below warning threshold.,MODERATE,2026-09-11 11:16:31.585460
1628,2026-06-08 00:06:59,2026-06-08 00:07:59,60,mag_x,Ridge,182.476,221.37053750250917,38.89453750250914,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.585809
1629,2026-06-08 00:06:59,2026-06-08 00:07:59,60,mag_y,Ridge,192.64,230.6764914710973,38.03649147109732,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.586067
1630,2026-06-08 00:06:59,2026-06-08 00:07:59,60,mag_z,Ridge,227.514,227.81177337973708,0.2977733797370661,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.586387
1631,2026-06-08 00:06:59,2026-06-08 00:07:59,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.586662
1632,2026-06-08 00:07:00,2026-06-08 00:08:00,60,vib_x_rms,XGBoost,0.11539,0.1095974594354629,-0.005792540564537,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1096 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.586904
1633,2026-06-08 00:07:00,2026-06-08 00:08:00,60,vib_y_rms,XGBoost,0.129796,0.1401711255311966,0.0103751255311966,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1402 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.587144
1634,2026-06-08 00:07:00,2026-06-08 00:08:00,60,vib_z_rms,XGBoost,0.073567,0.0641761347651481,-0.0093908652348518,NORMAL,INFO,NONE,Predicted vibration 0.0642 is below warning threshold.,MODERATE,2026-09-11 11:16:31.587400
1635,2026-06-08 00:07:00,2026-06-08 00:08:00,60,mag_x,Ridge,171.612,221.50954301584176,49.89754301584176,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.587668
1636,2026-06-08 00:07:00,2026-06-08 00:08:00,60,mag_y,Ridge,70.336,230.95564667981645,160.61964667981647,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.587964
1637,2026-06-08 00:07:00,2026-06-08 00:08:00,60,mag_z,Ridge,260.428,228.6447015805609,-31.78329841943909,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.588281
1638,2026-06-08 00:07:00,2026-06-08 00:08:00,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.588616
1639,2026-06-08 00:07:02,2026-06-08 00:08:02,60,vib_x_rms,XGBoost,0.10689,0.1076276376843452,0.0007376376843452,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1076 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.588903
1640,2026-06-08 00:07:02,2026-06-08 00:08:02,60,vib_y_rms,XGBoost,0.136502,0.1413372009992599,0.0048352009992599,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1413 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.589155
1641,2026-06-08 00:07:02,2026-06-08 00:08:02,60,vib_z_rms,XGBoost,0.066598,0.0639395341277122,-0.0026584658722877,NORMAL,INFO,NONE,Predicted vibration 0.0639 is below warning threshold.,MODERATE,2026-09-11 11:16:31.589392
1642,2026-06-08 00:07:02,2026-06-08 00:08:02,60,mag_x,Ridge,122.724,225.66395756693575,102.93995756693576,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.589647
1643,2026-06-08 00:07:02,2026-06-08 00:08:02,60,mag_y,Ridge,268.912,224.45074046263687,-44.46125953736311,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.590018
1644,2026-06-08 00:07:02,2026-06-08 00:08:02,60,mag_z,Ridge,156.03,226.32760719378405,70.29760719378405,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.590319
1645,2026-06-08 00:07:02,2026-06-08 00:08:02,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.590668
1646,2026-06-08 00:07:03,2026-06-08 00:08:03,60,vib_x_rms,XGBoost,0.108215,0.1076143234968185,-0.0006006765031814,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1076 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.591031
1647,2026-06-08 00:07:03,2026-06-08 00:08:03,60,vib_y_rms,XGBoost,0.117676,0.1389747411012649,0.0212987411012649,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1390 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.591391
1648,2026-06-08 00:07:03,2026-06-08 00:08:03,60,vib_z_rms,XGBoost,0.065655,0.0636114850640297,-0.0020435149359703,NORMAL,INFO,NONE,Predicted vibration 0.0636 is below warning threshold.,MODERATE,2026-09-11 11:16:31.591691
1649,2026-06-08 00:07:03,2026-06-08 00:08:03,60,mag_x,Ridge,422.814,226.6869383460858,-196.1270616539142,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.591993
1650,2026-06-08 00:07:03,2026-06-08 00:08:03,60,mag_y,Ridge,336.42,216.0745529766971,-120.34544702330292,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.592338
1651,2026-06-08 00:07:03,2026-06-08 00:08:03,60,mag_z,Ridge,348.838,229.7389179977699,-119.09908200223012,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.592685
1652,2026-06-08 00:07:03,2026-06-08 00:08:03,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.592944
1653,2026-06-08 00:07:04,2026-06-08 00:08:04,60,vib_x_rms,XGBoost,0.108324,0.110225148499012,0.0019011484990119,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1102 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.593337
1654,2026-06-08 00:07:04,2026-06-08 00:08:04,60,vib_y_rms,XGBoost,0.147248,0.1411930322647094,-0.0060549677352905,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1412 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.593745
1655,2026-06-08 00:07:04,2026-06-08 00:08:04,60,vib_z_rms,XGBoost,0.06651,0.0647702440619468,-0.0017397559380531,NORMAL,INFO,NONE,Predicted vibration 0.0648 is below warning threshold.,MODERATE,2026-09-11 11:16:31.594098
1656,2026-06-08 00:07:04,2026-06-08 00:08:04,60,mag_x,Ridge,225.526,231.14923384684923,5.623233846849217,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.594448
1657,2026-06-08 00:07:04,2026-06-08 00:08:04,60,mag_y,Ridge,101.444,222.4230497109678,120.9790497109678,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.594766
1658,2026-06-08 00:07:04,2026-06-08 00:08:04,60,mag_z,Ridge,263.368,232.389670372898,-30.978329627102028,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.595076
1659,2026-06-08 00:07:04,2026-06-08 00:08:04,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.595336
1660,2026-06-08 00:07:06,2026-06-08 00:08:06,60,vib_x_rms,XGBoost,0.104705,0.109757088124752,0.005052088124752,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1098 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.595583
1661,2026-06-08 00:07:06,2026-06-08 00:08:06,60,vib_y_rms,XGBoost,0.140206,0.1440080106258392,0.0038020106258392,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1440 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.595819
1662,2026-06-08 00:07:06,2026-06-08 00:08:06,60,vib_z_rms,XGBoost,0.056779,0.0650322660803794,0.0082532660803794,NORMAL,INFO,NONE,Predicted vibration 0.0650 is below warning threshold.,MODERATE,2026-09-11 11:16:31.596067
1663,2026-06-08 00:07:06,2026-06-08 00:08:06,60,mag_x,Ridge,227.878,229.1581192209407,1.280119220940719,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.596375
