sensor,horizon_seconds,regime_type,regime,model,samples,MAE,RMSE,R2
mag_z,60,operating_regime,Low_Vibration__Low_Temperature,Ridge,3178,113.31058291975852,131.20923089834096,-0.0035527152097418746
mag_z,60,operating_regime,Low_Vibration__Low_Temperature,XGBoost,3178,113.4607813874369,131.61207190699702,-0.009724427172973948
mag_z,60,operating_regime,High_Vibration__Low_Temperature,Persistence,447,152.0827516308725,187.21165785216763,-1.062193558813886
mag_z,60,operating_regime,High_Vibration__Low_Temperature,Ridge,447,111.88730995238402,130.561238299818,-0.0029797588086550864
mag_z,60,operating_regime,High_Vibration__Low_Temperature,XGBoost,447,113.58140056052066,131.95147542775567,-0.024453260554070155
temperature,60,vibration_regime,Medium_Vibration,Persistence,2658,0.07277753380361168,0.1427584931628745,0.8657886965749255
temperature,60,vibration_regime,Medium_Vibration,Ridge,2658,0.19181828683163915,0.21539240981472493,0.694475547879676
temperature,60,vibration_regime,Medium_Vibration,XGBoost,2658,1.4528285639101666,1.5043531474695353,-13.903380226280364
temperature,60,vibration_regime,Low_Vibration,Persistence,3178,0.06809424263373187,0.1489953833140347,0.8504552037081567
temperature,60,vibration_regime,Low_Vibration,Ridge,3178,0.19343675958499618,0.2187040294738738,0.677789824662288
temperature,60,vibration_regime,Low_Vibration,XGBoost,3178,1.4874441460134589,1.5378630484063525,-14.931659124248
temperature,60,vibration_regime,High_Vibration,Persistence,447,0.10603006487695739,0.17273592710059266,0.7882941618629319
temperature,60,vibration_regime,High_Vibration,Ridge,447,0.19818912416778423,0.22831064979826662,0.6301549382713452
temperature,60,vibration_regime,High_Vibration,XGBoost,447,1.3558235929080809,1.4055407029187297,-13.016976256761682
temperature,60,temperature_regime,Low_Temperature,Persistence,6283,0.07277441141811232,0.14823373301080134,0.8540763248272545
temperature,60,temperature_regime,Low_Temperature,Ridge,6283,0.19309017457625569,0.21801103712911146,0.6843624747915871
temperature,60,temperature_regime,Low_Temperature,XGBoost,6283,1.4634360918245912,1.5146571889062048,-14.235628294436587
temperature,60,operating_regime,Medium_Vibration__Low_Temperature,Persistence,2658,0.07277753380361168,0.1427584931628745,0.8657886965749255
temperature,60,operating_regime,Medium_Vibration__Low_Temperature,Ridge,2658,0.19181828683163915,0.21539240981472493,0.694475547879676
temperature,60,operating_regime,Medium_Vibration__Low_Temperature,XGBoost,2658,1.4528285639101666,1.5043531474695353,-13.903380226280364
temperature,60,operating_regime,Low_Vibration__Low_Temperature,Persistence,3178,0.06809424263373187,0.1489953833140347,0.8504552037081567
temperature,60,operating_regime,Low_Vibration__Low_Temperature,Ridge,3178,0.19343675958499618,0.2187040294738738,0.677789824662288
temperature,60,operating_regime,Low_Vibration__Low_Temperature,XGBoost,3178,1.4874441460134589,1.5378630484063525,-14.931659124248
temperature,60,operating_regime,High_Vibration__Low_Temperature,Persistence,447,0.10603006487695739,0.17273592710059266,0.7882941618629319
temperature,60,operating_regime,High_Vibration__Low_Temperature,Ridge,447,0.19818912416778423,0.22831064979826662,0.6301549382713452
temperature,60,operating_regime,High_Vibration__Low_Temperature,XGBoost,447,1.3558235929080809,1.4055407029187297,-13.016976256761682
