sensor,horizon_samples,approx_horizon_seconds,model,MAE,RMSE,R2,evaluation_points
vib_y_rms,30,30.0,Persistence,0.0124655388,0.046226301373688765,0.6632228942213872,10000
vib_y_rms,30,30.0,RecentMean30,0.013811018883333333,0.05011597142789145,0.6041628295113235,10000
vib_y_rms,30,30.0,LinearTrend30,0.01966012477579904,0.07237960808506665,0.17434859928813196,10000
vib_y_rms,60,60.0,Persistence,0.01737013985,0.05921128348075496,0.4434474594844784,10000
vib_y_rms,60,60.0,RecentMean30,0.01781895038,0.06001117555971971,0.42830882543707405,10000
vib_y_rms,60,60.0,LinearTrend30,0.03308610719836856,0.12247471545757257,-1.3811683297290749,10000
vib_y_rms,300,300.0,Persistence,0.03144173935,0.08888174539145609,-0.2556606036067013,10000
vib_y_rms,300,300.0,RecentMean30,0.03137350339666667,0.08865439005787724,-0.24924497775539534,10000
vib_y_rms,300,300.0,LinearTrend30,0.12539608503295513,0.48937521147208773,-37.06545750388095,10000
vib_y_rms,600,600.0,Persistence,0.03844971195,0.10297591951359782,-0.7644314598240796,10000
vib_y_rms,600,600.0,RecentMean30,0.03806828983333333,0.10156608952433842,-0.7164489791395399,10000
vib_y_rms,600,600.0,LinearTrend30,0.23639918787879127,0.9584889556604379,-151.86485947477397,10000
vib_z_rms,1,1.0,Persistence,0.0036782743499999995,0.07649974808391281,0.11556038947011726,10000
vib_z_rms,1,1.0,RecentMean30,0.0041233596550000005,0.07702847755591609,0.10329249802126039,10000
vib_z_rms,1,1.0,LinearTrend30,0.0038438294857854414,0.07730664123343457,0.09680446047337254,10000
vib_z_rms,5,5.0,Persistence,0.0032398581,0.007766441862490828,0.9252115902063139,10000
vib_z_rms,5,5.0,RecentMean30,0.0036724251538888895,0.012085068952951734,0.8189125416593029,10000
vib_z_rms,5,5.0,LinearTrend30,0.0037283380899320235,0.015906135780728223,0.6862964172416396,10000
vib_z_rms,10,10.0,Persistence,0.0036254587333333335,0.009637869752115582,0.8850602317660761,10000
vib_z_rms,10,10.0,RecentMean30,0.004002142807222222,0.013241472804677194,0.7830394379979735,10000
vib_z_rms,10,10.0,LinearTrend30,0.004505096192397727,0.019736906351064527,0.5179785417534502,10000
vib_z_rms,30,30.0,Persistence,0.005802359149999999,0.07769707419286535,0.08742094982653104,10000
vib_z_rms,30,30.0,RecentMean30,0.006080320178333333,0.07816692798968265,0.07635038629154456,10000
vib_z_rms,30,30.0,LinearTrend30,0.00879347905572859,0.08434120613875873,-0.07532756664661688,10000
vib_z_rms,60,60.0,Persistence,0.0073959626,0.07870832222961432,0.06500618888473719,10000
vib_z_rms,60,60.0,RecentMean30,0.007367277026111111,0.0789819809138463,0.058493180325662864,10000
vib_z_rms,60,60.0,LinearTrend30,0.013935673341729085,0.09752001950231841,-0.43534065216749296,10000
vib_z_rms,300,300.0,Persistence,0.012197999300000002,0.08251260275207419,-0.02899158583338335,10000
vib_z_rms,300,300.0,RecentMean30,0.012091808941666667,0.0827209882000206,-0.034195582138192515,10000
vib_z_rms,300,300.0,LinearTrend30,0.051010961882035605,0.26383331983793235,-9.520358389571156,10000
vib_z_rms,600,600.0,Persistence,0.014153927749999996,0.0378876481036033,-0.7518362641094074,10000
vib_z_rms,600,600.0,RecentMean30,0.013904731819444445,0.03788072434592922,-0.751196045879764,10000
